,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
10,0.17291203,0.47877693,6.740994,-0.5103986,1.9103502,-2.773957,4.078782,-1.3203615,1.1670645,1.2131605,-1.1229293,-3.3035016,-3.092032,-3.8714464,0.26476955,0.26508397,-4.6746993,-2.5115507,1.4452215,2.1435375,1.6684992,-1.6007781,-3.9902725,-2.3653514,-1.7852463,3.6401248,1.8295876,0.9009909,-0.423134,2.1356428,4.1901865,0.57892704,-0.6174037,1.2841771,-0.10507531,-1.1475223,-0.48127338,2.554166,6.440342,-0.25106207,3.565583,0.03871219,-0.059615918,-0.4658816,2.2186196
11,0.34173155,-0.90530556,3.499324,-1.2864847,3.129116,0.09103574,1.8503497,0.5005751,1.0941387,0.4109735,0.93459433,-0.42315358,-2.289532,-2.0157144,-0.93788344,2.0851138,-2.202523,-1.2241654,2.5485566,0.0036183298,2.1214054,0.36497697,-1.8025602,-1.8125212,-0.18032575,2.3965895,0.91798776,-0.7269278,-0.093509026,2.3028197,1.9188516,1.0101564,-0.5545539,-0.066079766,-0.61137587,-2.1379128,0.58971995,2.6619499,2.4096828,-1.3000976,2.270542,-0.4640336,0.59370965,0.79195946,1.5180577
12,0.8674719,2.596631,1.7456677,0.7666477,3.7500541,3.3086839,0.75669307,3.8863924,-0.023371771,3.7239566,4.8839498,1.6197996,-2.5745869,0.13230368,-1.7240655,-2.4940658,-1.928484,2.1610377,1.9266849,0.3664978,1.9186624,2.5059428,-0.9674111,-3.6218715,2.7452552,-0.4988696,-2.058234,-3.6464412,1.7613837,0.5116273,5.2910123,-0.88931316,0.038918942,-3.0260997,0.7955927,-0.02272011,-0.10130341,-0.067780115,0.7342343,-3.598286,2.4006555,0.59027475,-0.80391765,3.1613019,4.1646757
13,-0.350946,1.1034986,2.4257085,-2.4868324,2.656718,2.8695478,4.4131155,3.4508984,1.8812449,1.3315473,3.5712361,0.11133225,-2.331008,-0.8631369,-0.014210157,-3.2931886,-6.4467134,-1.0600821,2.5384943,3.200404,2.6339407,1.9152106,1.1326748,-2.9263108,1.6589197,3.8623464,-0.9809869,-2.6592193,-1.1272084,0.035380606,2.1281972,-3.4742954,0.33168742,0.93706,-0.87371296,0.89347494,1.3902968,3.5892947,3.5001333,-5.9822273,0.2622379,-0.2521512,-0.30192593,3.7326121,4.625671
14,-0.9616372,0.6462955,4.782946,1.431257,0.6767738,-0.75583315,-1.3319834,1.4965917,0.8476163,1.1245488,1.9240332,-2.5185666,-2.873491,-1.6039246,0.17992228,1.0033138,-3.4155872,-1.1268325,2.3562229,0.88962007,-1.20135,-0.7923718,-1.2984878,5.6758156,2.5498078,3.0914676,0.7767878,2.0805655,1.7179666,-3.1655931,0.08312101,4.3833594,6.6626124,-1.7175186,2.4847963,-0.58815783,-3.5051594,0.5999757,3.1541836,2.342845,-0.9123346,-0.37997052,3.4284039,-3.668319,-1.2814981
15,-1.4466789,3.8349946,3.0904114,-0.26585388,5.7526717,4.0604806,2.0748603,4.186544,-0.16243048,3.3851533,4.686853,1.2588817,-2.3849702,0.8817145,-1.88411,-4.1214805,-3.6044314,2.6786802,2.8609114,1.3528664,0.88751626,2.3478875,-4.3049393,-3.6998794,2.9131615,-1.9801055,-1.6011641,-4.244922,1.392952,-1.616229,4.117505,-1.2557333,2.2226913,-1.5026711,4.449307,-1.5697498,-0.61868906,0.6918363,1.479389,-3.6612532,0.6738273,1.1637673,-2.4982228,2.8726838,4.9818606
16,0.09990287,0.83572376,2.5885787,2.2006562,3.8401668,1.4722067,-1.1826597,2.2688398,-2.3181462,1.5817575,2.726172,0.70265895,-1.8127763,-0.7516019,-2.0537639,-2.285593,0.1522457,1.93103,0.87401354,0.069340676,2.5447955,2.855665,-1.4004697,-0.036646366,0.96675134,0.057860952,0.30978253,-0.14342651,1.2809281,-0.64414185,1.2617867,-1.2792585,4.1407356,-1.7890052,0.60629326,-0.45570013,-1.7840424,-0.89691305,1.8129733,0.45709908,0.9390713,-1.285518,1.0515281,-1.166361,1.564605
17,-0.23885646,-2.225411,4.563199,-0.6452223,3.4000378,-0.53452194,3.110675,0.26494965,1.1622645,-0.5535218,-0.52498084,-2.6738372,-2.039398,-3.2880487,-1.8492172,0.3624717,-2.2227776,-0.6885886,2.8634017,0.5976468,1.093083,1.7391235,-2.831453,-1.3316921,-1.3145416,2.7481055,3.598206,1.1285897,0.42400074,2.4518387,1.1484638,-0.2640748,-0.17598855,0.4390779,-1.308014,-2.6837254,1.5110387,4.1964345,3.1873617,-2.3489003,1.6102221,-1.5964642,0.11752558,-0.51419693,1.1912483
18,0.47961897,-1.512454,2.6728683,0.37238026,2.3849669,-1.2895213,3.0687916,3.3057032,3.176595,-0.004292204,0.06922801,-2.5753984,-1.6283349,-1.8834317,-3.2545066,-0.7512434,-3.1953044,1.9500717,1.8795692,1.8356316,0.96038747,-0.23388785,-0.42924392,-1.6427082,-1.7992504,4.4853992,-2.095224,-2.5463796,-0.88448,0.65374714,2.7353206,-0.0010049473,-1.6175492,0.09661026,-1.7672551,-1.2401437,-0.7214993,4.202739,2.23357,-4.8514433,2.4545047,-0.037061546,-0.85095686,-2.0034213,2.9055195
19,-0.2248743,0.8863526,3.779275,1.6885713,1.1486424,1.0340437,0.26543894,0.81940323,-1.4729043,1.9452615,2.222567,2.060752,-2.203376,0.61526394,-0.11426659,2.3649957,-1.293617,-0.9217197,2.4888625,0.5418218,2.1496851,1.1502262,-1.0473782,0.49011382,2.5794377,3.6389728,1.4757535,4.144387,-1.4908159,-1.9531466,1.0635426,0.06804637,5.097304,-0.8910953,1.34254,2.8832073,-3.3812063,-1.3366631,3.8355317,3.1491842,0.7553825,-3.2168431,3.7175322,0.89122695,2.112963
20,0.6517355,0.18188153,3.005261,-0.55243945,-0.32680845,-0.5831263,0.31935355,-1.0149301,-0.18255873,2.8804939,0.7957615,-0.20941573,-2.409603,1.2816443,-0.06479028,1.8458947,-4.03391,0.12893455,-0.45088923,-0.5492894,0.8094655,1.5445735,-0.17032704,1.3085804,2.681363,3.7907093,0.18039313,2.6944957,-0.7880521,-2.4055822,1.5399421,1.1595262,4.273778,-1.3857268,0.31158775,1.1308731,-4.310336,-2.335226,2.7829819,1.4019498,2.2280302,-2.6059825,3.5811229,1.1735665,1.3207934
21,0.3473126,1.5103678,7.5702567,1.4526279,-1.3533845,-1.8631641,1.5907154,-0.76920104,-0.3981763,3.86998,1.8111808,-1.6620166,-2.9628856,0.35297343,1.2002292,2.2871974,-1.7339443,-1.815755,0.8709966,0.22981015,-0.80971724,-0.005065372,-2.2910607,-0.92870784,2.0726233,2.8802779,0.60148466,2.2998476,1.4791845,-1.9131063,1.7174609,3.247979,3.0608816,-0.9825144,2.9505782,-0.3269862,-4.5982685,-1.8538828,5.3122883,3.433335,3.8757434,-0.1416126,1.6993271,0.9201842,1.0457625
22,0.24343047,-0.50808233,1.9711804,1.6046983,0.52744126,0.3490687,-0.49004817,1.199388,-0.22171582,1.3722198,0.0325604,0.68494654,-1.3784513,0.123456486,-0.81873286,-0.39969942,-1.5748829,0.53340644,-0.23104778,-0.6938908,0.443376,0.098901704,-0.9448213,2.21113,1.1695318,2.0644388,0.2864773,1.1384623,0.9631702,-2.080828,-0.07838262,0.40860188,4.299769,-0.70785415,-0.1599398,1.4357461,-1.6614174,-0.58697504,2.2522357,1.1380543,-0.26665807,-1.2665979,1.8496224,-1.5571384,0.9550384
23,0.02473931,1.4361702,4.128942,1.9024729,3.1678157,1.0274556,-2.5759807,3.5170412,-1.9539832,2.4500036,1.9436681,1.3258091,-1.064469,-0.6160417,-1.2340488,-2.8302503,-1.5716355,0.5661157,1.5363805,0.85203314,4.7110887,2.272171,-1.5952013,0.27106005,0.83236563,0.26916468,-0.14384018,0.2523956,-0.17837653,-2.324958,2.1230843,-1.5928615,4.457924,-2.3744888,-0.36245713,1.8728203,-3.5653458,-0.43829978,2.2828844,0.478154,0.73796326,-1.608964,1.8671823,-0.528522,2.4994524
24,2.0941124,-0.49694192,2.378857,-0.8232554,4.0794306,0.27442965,3.3364096,1.622445,2.4659808,0.6387111,-0.889003,-0.4683237,-3.0351646,-2.1765988,-3.2006543,1.2879193,-2.3284192,0.35757887,5.4171505,0.29334235,2.6814587,1.155117,-4.4873853,-2.2961638,-1.1523596,2.4813392,-0.5359353,-1.1903666,-0.47837988,2.1561663,3.0945768,-1.449555,-2.3983448,0.6041393,-2.0674508,-3.0111427,1.5316849,3.8227248,1.888671,-3.9529872,3.0587003,-0.9257704,0.24014673,-0.27729684,3.1716428
